feature,family,subfamily,status,reasons,is_event_based,n_total,null_pct,n_unique,top_value,top_freq_pct,std
sell_vol,5_ORDER_FLOW,5b_volume_abs,ALIVE,,False,16746,0.0,868,15.0,1.25,348.6807284565121
sess_high,10_SESSION_CALENDAR,10_session_range,ALIVE,,False,16746,48.84,289,30324.0,10.41,556.9147755521552
sess_low,10_SESSION_CALENDAR,10_session_range,ALIVE,,False,16746,48.84,129,30204.75,15.03,575.3374156498793
sess_range_atr,10_SESSION_CALENDAR,10_session_range,ALIVE,,False,16746,2.89,307,3.872,11.27,1.266253746870034
sess_range_ticks,10_SESSION_CALENDAR,10_session_range,ALIVE,,False,16746,0.0,249,2267.0,18.74,1007.2246574613271
session,META,0a_bar_meta,ALIVE,,False,16746,0.0,3,2,35.72,0.824664329084022
session_date,META,0a_bar_meta,DEAD,std<0.00e+00,False,16746,2.87,5,'2026-06-11',37.31,0.0
session_date_trading,META,0a_bar_meta,DEAD,std<0.00e+00,False,16746,2.87,4,'2026-06-11',42.05,0.0
session_hvn_count,1_MARKET_STRUCTURE,1b_session_hvn_lvn,ALIVE,,False,16746,0.0,11,0,85.01,2.9709128877259556
session_id,META,0a_bar_meta,DEAD,std<0.00e+00,False,16746,0.0,3,'US',35.72,0.0
session_lvn_count,1_MARKET_STRUCTURE,1b_session_hvn_lvn,ALIVE,,False,16746,0.0,11,0,88.49,2.4944194903992174
session_segment,META,0a_bar_meta,DEAD,std<0.00e+00,False,16746,0.0,5,'london',34.77,0.0
single_print_above,OTHER,unclassified,DEAD,std<0.00e+00 | top_freq>98%,False,16746,73.14,2,False,97.51,0.0
single_print_below,OTHER,unclassified,DEAD,std<0.00e+00 | top_freq>97%,False,16746,73.14,2,True,97.4,0.0
single_print_count,1_MARKET_STRUCTURE,1a_tpo_profile,ALIVE,,False,16746,0.0,310,193,7.15,284.3571102294449
single_print_density,OTHER,unclassified,ALIVE,,False,16746,73.14,1059,0.0,10.87,2.164312366735996
single_print_mid,1_MARKET_STRUCTURE,1a_tpo_profile,ALIVE,,False,16746,0.0,138,28549.12,18.97,788.6350781814691
sweep_high_active,OTHER,unclassified,ALIVE,,False,16746,73.14,5,1,43.29,0.8668237434779558
sweep_high_this_bar,OTHER,unclassified,DEAD,std<0.00e+00,False,16746,73.14,2,False,88.06,0.0
sweep_low_active,OTHER,unclassified,ALIVE,,False,16746,73.14,5,0,47.38,0.7703291569209673
sweep_low_this_bar,OTHER,unclassified,DEAD,std<0.00e+00,False,16746,73.14,2,False,90.66,0.0
swing_range_ticks,1_MARKET_STRUCTURE,1c_swing,ALIVE,,False,16746,0.0,220,0.0,2.89,343.52376190388134
sym,META,0a_bar_meta,DEAD,CONSTANT | top_freq>100%,False,16746,0.0,1,'NQ',100.0,0.0
ticks_count,5_ORDER_FLOW,5b_volume_abs,ALIVE,,False,16746,0.0,1236,44,0.75,615.3653173864984
total_vol,5_ORDER_FLOW,5b_volume_abs,ALIVE,,False,16746,0.0,1308,44.0,0.73,681.8458026563283
trend_day_probability,1_MARKET_STRUCTURE,1a_tpo_concepts,ALIVE,,False,16746,0.0,4,0.0,71.69,0.13385700049508675
ts,META,0a_bar_meta,ALIVE,,False,16746,0.0,4426,1781164560000,0.07,139632105.22976536
ts_event,META,0a_bar_meta,DEAD,std<0.00e+00,False,16746,0.0,4426,'2026-06-11T07:56:00+00:00',0.07,0.0
ts_event_ns,META,0a_bar_meta,ALIVE,,False,16746,45.78,3475,1781251380000000000,0.07,141440362596926.62
ts_raw_ms,META,0a_bar_meta,ALIVE,,False,16746,63.7,2243,1781251380000,0.08,133303173.07231803
us_high,3_IB_OVERNIGHT,3_sessions_levels,ALIVE,,False,16746,70.03,139,29250.0,38.45,616.6039339226566
us_low,3_IB_OVERNIGHT,3_sessions_levels,ALIVE,,False,16746,70.03,64,30604.75,15.52,723.8526227139546
va_position_pct,1_MARKET_STRUCTURE,1b_vp_current_range,ALIVE,,False,16746,56.4,1456,0.9617,0.32,0.2802290037608494
vah_touches_20b,1_MARKET_STRUCTURE,1b_vp_current_touches,ALIVE,,False,16746,0.0,11,0.0,80.57,1.2739745536653475
val_touches_20b,1_MARKET_STRUCTURE,1b_vp_current_touches,ALIVE,,False,16746,0.0,5,0.0,93.19,0.45784444417868125
vix_above_hvl,9_VOLATILITY_VIX,9_vix_core,ALIVE,,True,16746,0.0,2,0,60.83,0.4881380576722311
vix_above_hvl_0dte,9_VOLATILITY_VIX,9_vix_core,ALIVE,,False,16746,0.0,2,1,71.91,0.44944016479316323
vix_level,9_VOLATILITY_VIX,9_vix_core,ALIVE,,False,16746,0.0,511,22.22,21.26,2.021259034783563
vix_regime,9_VOLATILITY_VIX,9_vix_core,DEAD,CONSTANT,True,16746,0.0,1,1,100.0,0.0
vol_per_sec,5_ORDER_FLOW,5b_volume_abs,ALIVE,,False,16746,0.0,2415,1.0,0.58,11.354184289851458
volume,META,0a_bar_meta,ALIVE,,False,16746,26.52,1062,44.0,0.95,519.2457974405406
volume_imbalance,1_MARKET_STRUCTURE,1a_tpo_profile,ALIVE,,False,16746,0.0,945,2.4803,0.31,2.6217389706472574
vwap_d,4_VWAP_ANCHOR,4_vwap_abs,ALIVE,,False,16746,2.89,4124,28602.19,0.65,626.5141240439674
vwap_d_sd1d,4_VWAP_ANCHOR,4_vwap_abs,ALIVE,,False,16746,2.89,4065,28496.97,0.3,628.6021629427078
vwap_d_sd1u,4_VWAP_ANCHOR,4_vwap_abs,ALIVE,,False,16746,2.89,3955,29517.5,0.31,629.1040835880561
vwap_d_sd2d,4_VWAP_ANCHOR,4_vwap_abs,ALIVE,,False,16746,2.89,3763,28376.3,0.25,635.3219240750876
vwap_d_sd2u,4_VWAP_ANCHOR,4_vwap_abs,ALIVE,,False,16746,2.89,3974,29746.8,0.25,636.3148332040448
vwap_d_sd3d,4_VWAP_ANCHOR,4_vwap_abs,ALIVE,,False,16746,2.89,3798,28257.92,0.18,646.529117626297
vwap_d_sd3u,4_VWAP_ANCHOR,4_vwap_abs,ALIVE,,False,16746,2.89,4040,28950.95,0.22,647.9922552777234
vwap_d_side,4_VWAP_ANCHOR,4_vwap_side,ALIVE,,False,16746,0.0,3,1,77.01,0.8045078405934514
vwap_m,4_VWAP_ANCHOR,4_vwap_abs,ALIVE,,False,16746,2.89,2601,29673.2,0.46,105.65509106269784
