feature,family,subfamily,status,reasons,is_event_based,n_total,null_pct,n_unique,top_value,top_freq_pct,std
bar_duration_sec,5_ORDER_FLOW,5b_volume_abs,ALIVE,,False,13338,0.0,18,60.0,47.83,1.8439823445388346
bar_edge_buy,6_SIERRA_BN,6_edge,ALIVE,,False,13338,0.0,2,0,71.48,0.4515097311253793
bar_edge_buy_fire,6_SIERRA_BN,6_edge,ALIVE,,False,13338,27.17,2,0,71.86,0.4497061918809551
bar_edge_sell,6_SIERRA_BN,6_edge,ALIVE,,False,13338,0.0,2,0,73.51,0.44127051001368295
bar_edge_sell_fire,6_SIERRA_BN,6_edge,ALIVE,,False,13338,27.17,2,0,74.04,0.4384290084763916
bar_high,META,0a_bar_meta,ALIVE,,False,13338,0.0,1158,7333.75,0.62,103.38462888781321
bar_long_dn_bar,6_SIERRA_BN,6_bar_long,ALIVE,,False,13338,0.0,2,0,93.04,0.25443049670905915
bar_long_dn_up,6_SIERRA_BN,6_bar_long,DEAD,top_freq>99%,False,13338,0.0,2,0,99.4,0.07721350867250505
bar_long_up_bar,6_SIERRA_BN,6_bar_long,ALIVE,,False,13338,0.0,2,0,92.6,0.2617694280611788
bar_long_up_dn,6_SIERRA_BN,6_bar_long,DEAD,top_freq>99%,False,13338,0.0,2,0,99.25,0.08626218912574801
bar_low,META,0a_bar_meta,ALIVE,,False,13338,0.0,1188,7305.5,0.67,103.94875564218562
bar_lower_wick_pct,1_MARKET_STRUCTURE,1a_bar_microstructure,ALIVE,,False,13338,0.0,236,0.0,21.13,0.011927388103691481
bar_no_trade,1_MARKET_STRUCTURE,1a_bar_microstructure,DEAD,CONSTANT | top_freq>100%,False,13338,0.0,1,0,100.0,0.0
bar_pressure_ask,6_SIERRA_BN,6_bar_pressure,DEAD,top_freq>99%,False,13338,0.0,2,0,99.07,0.0959703946541909
bar_pressure_bid,6_SIERRA_BN,6_bar_pressure,DEAD,top_freq>99%,False,13338,0.0,2,0,99.21,0.08879223047129844
bar_upper_wick_pct,1_MARKET_STRUCTURE,1a_bar_microstructure,ALIVE,,False,13338,0.0,241,0.0,20.28,0.012382411108804545
bars_in_va,1_MARKET_STRUCTURE,1b_vp_current_range,ALIVE,,False,13338,0.0,521,0.0,33.22,146.06586554441805
bars_since_boot,META,0c_observability,ALIVE,,False,13338,39.13,1932,1,0.12,443.8008993321384
bars_since_last_sweep_high,OTHER,unclassified,ALIVE,,False,13338,84.4,20,1,20.57,5.179097807837963
bars_since_last_sweep_low,OTHER,unclassified,ALIVE,,False,13338,84.76,20,1,15.59,5.558912988495831
bars_since_last_swing_high,1_MARKET_STRUCTURE,1c_swing,ALIVE,,False,13338,22.01,413,0,1.93,68.27490842644269
bars_since_last_swing_low,1_MARKET_STRUCTURE,1c_swing,ALIVE,,False,13338,26.0,456,0,0.94,88.33259158597828
bars_since_london_open,OTHER,unclassified,ALIVE,,False,13338,84.41,389,0,0.38,98.39057628672587
bars_since_retest_high,1_MARKET_STRUCTURE,1c_retest,ALIVE,,False,13338,32.02,605,1.0,10.33,4992.638565843863
bars_since_retest_low,1_MARKET_STRUCTURE,1c_retest,ALIVE,,False,13338,56.04,592,1.0,9.87,6314.134839339628
bid_pct,5_ORDER_FLOW,5b_imbalance,ALIVE,,False,13338,0.0,2348,0.5,1.06,0.09029760118862132
big_ask_cluster_20t,5_ORDER_FLOW,5c_big_clusters,ALIVE,,False,13338,0.0,48,0.0,56.28,7.171317737665341
